FILE_NAME: EC001112.CSV
ROM_CODE: 9A3B2000027AF621
DEVICE_NAME: DS1921Z
UPLOAD_TIME: 2017-06-20T09:34:24
MAC_ADDRESS: 00:04:A3:C1:42:3F
TEMPERATURE_UNITS: Centigrade

GPSRAM_0-15: Bog Trail

REGS_16:
RTC_Time: 2017-06-20T09:34:42
Alarm_Time: 00:00:00
Alarm_MaskDayOfWeek: 0
Alarm_MaskHrs: 0
Alarm_MaskMin: 0
Alarm_MaskSec: 0
Temp_LowAlarmThreshold: 0.000
Temp_HighAlarmThreshold: 0.000
Temp_LowAlarmState: FALSE
Temp_HighAlarmState: TRUE
Mission_InProgress: FALSE
Mission_RolloverEnabled: FALSE
Mission_StartDelay: 0 Min
Mission_TimeBetweenConversions: 10 Min
Mission_TimeStamp: 2017-06-02T15:04:00
Mission_SamplesCounter: 2560
Mission_RolloverOccurred: No
Device_SamplesCounter: 89415
Memory_Clear: FALSE
Oscillator_Enabled: TRUE

ALARMS_17-19:
High_Alarm_Time, High_Alarm_Duration
2017-06-02T15:14:00,17T17:00:00

HISTOGRAM_64-67:
Histogram_NumberOfBins: 64
Histogram_HighestBinValue: 1108
Histogram_LowBinTemp: -5.5
Histogram_HighBinTemp: 26.0
Count,Temperature
2017-06-06T11:44:00,10.5
2017-06-06T11:54:00,10.5
2017-06-06T12:04:00,10.5
2017-06-06T12:14:00,10.5
2017-06-06T12:24:00,10.5
2017-06-06T12:34:00,10.5
2017-06-06T12:44:00,10.5
2017-06-06T12:54:00,10.5
2017-06-06T13:04:00,10.5
2017-06-06T13:14:00,10.5
2017-06-06T13:24:00,10.5
2017-06-06T13:34:00,10.5
2017-06-06T13:44:00,10.5
2017-06-06T13:54:00,10.5
2017-06-06T14:04:00,10.5
2017-06-06T14:14:00,10.5
2017-06-06T14:24:00,10.5
2017-06-06T14:34:00,10.5
2017-06-06T14:44:00,10.5
2017-06-06T14:54:00,10.5
2017-06-06T15:04:00,10.5
2017-06-06T15:14:00,10.5
2017-06-06T15:24:00,10.5
2017-06-06T15:34:00,10.5
2017-06-06T15:44:00,10.5
2017-06-06T15:54:00,10.5
2017-06-06T16:04:00,10.5
2017-06-06T16:14:00,10.5
2017-06-06T16:24:00,10.5
2017-06-06T16:34:00,10.5
2017-06-06T16:44:00,10.5
2017-06-06T16:54:00,10.5
2017-06-06T17:04:00,10.5
2017-06-06T17:14:00,10.5
2017-06-06T17:24:00,10.5
2017-06-06T17:34:00,10.5
2017-06-06T17:44:00,10.5
2017-06-06T17:54:00,10.5
2017-06-06T18:04:00,10.5
